date,time,location,type,description,weapon
2/11/2019,9:30 AM,6100 blk of Waterman,Burglaries,Broken apartment windows,
02/07/2019,2:30 PM,6100 blkTrinity,Robbery,Assaulted and phone stolen,
02/06/2019,6:55 AM,Forest Park Parkway/Big Bend,Robbery,Followed and assaulted and phone stolen,
02/05/2019,10:30 PM,6100 blk Waterman,Carjacking,Stole car and keys and wallet and phone,handgun
09/26/2018,9:30 PM,6000 blk Pershing,Carjacking,Stole keys and car and cell phone,
09/16/2018,10:30 PM,5900 blk Waterman,Carjacking,Stole keys and car,handgun
09/12/2018,7:30 PM,Delmar Metrolink 6005 Delmar,Shooting,Two individuals shot,handgun
09/09/2018,7:45 PM,Rosedale @ Pershing,carjacking,Backpack stolen,handgun
09/01/2018,8:40 PM,6600 block Washington Ave,Armed Robbery,Assaulted and phone car jacket stolen,handgun
05/22/2018,5:45 PM,Whitaker Hall,Robbery - Cleared by arrest,Phone stolen,
02/27/2018,9:30 PM,6000 black of Waterman,carjacking,stole keys and car,handgun
02/15/2018,5:50 PM,Enright/Innerdrive,Robbery,phone stolen,
02/12/2018,9:30 PM,6100 block Pershing,Carjacking,Stole keys and car and phone,handgun
12/06/2017,7:00 PM,7000 block Forsyth,Armed Robbery,phone stolen,weapon
10/31/2017,12:35 AM,Centennial Walkway @ Kingsbury,Armed Robbery,Assault and phone stolen,handgun
10/9/2017,11:30 PM,5900 Block McPherson,Robbery,Stole keys and phone,handgun
10/7/2017,8:10 PM,6000 Block Pershing,Carjacking,Stole keys and car ,
08/12/2017,8:32 AM,Green Hall,Armed Robbery,Stole backpack wallet watch,handgun
07/27/2017,11:15 PM,400 block Melville,Robbery,Stole backpack wallet,handgun
04/18/2017,7:30 PM,Skinker-Forest Park Metro Station,Sexual Abuse,sexual abuse,
03/28/2017,10:00 PM,6000 block Kingsbury,carjacking,stole car and keys,handgun
